time	V(vped)
7.071341699651401e-003	9.483942e+000
7.071379827113977e-003	9.478467e+000
7.071438226490978e-003	9.473256e+000
7.071510940497294e-003	9.467931e+000
7.071642309223691e-003	9.458681e+000
7.071905046676430e-003	9.440221e+000
7.072430521581963e-003	9.403432e+000
7.079787170259144e-003	8.906653e+000
7.088194768747336e-003	8.378078e+000
7.105009965723774e-003	7.431800e+000
7.138640359676596e-003	5.841233e+000
7.178640359676580e-003	4.343176e+000
7.218640359676565e-003	3.215118e+000
7.258640359676549e-003	2.378868e+000
7.298640359676534e-003	1.758949e+000
7.338640359676518e-003	1.299405e+000
7.378640359676503e-003	9.587530e-001
7.418640359676487e-003	7.062416e-001
7.458640359676472e-003	5.190721e-001
7.498640359676456e-003	3.803434e-001
7.538640359676441e-003	2.775259e-001
7.578640359676425e-003	2.013309e-001
7.618640359676410e-003	1.448724e-001
7.658640359676394e-003	1.030454e-001
7.698640359676379e-003	7.206539e-002
7.738640359676363e-003	4.912673e-002
7.778640359676348e-003	3.214950e-002
7.818640359676332e-003	1.959174e-002
7.858640359676317e-003	1.031033e-002
7.898640359676301e-003	3.386674e-003
7.931389169130110e-003	-8.943185e-004
7.964252130026273e-003	-4.180779e-003
7.996567187571468e-003	-6.667308e-003
8.036567187571453e-003	-9.109178e-003
8.046875000000064e-003	-9.637262e-003
8.047071115823257e-003	-9.560548e-003
8.047463347469641e-003	-9.374246e-003
8.048247810762466e-003	-8.932355e-003
8.049816737348114e-003	-7.854776e-003
8.052954590519357e-003	-4.948650e-003
8.059230296861897e-003	3.660487e-003
8.071040217986270e-003	2.773530e-002
8.085828023305652e-003	7.146280e-002
8.107069469814987e-003	1.587223e-001
8.135666834724886e-003	3.138404e-001
8.174928145571192e-003	5.796203e-001
8.214928145571177e-003	8.991223e-001
8.254928145571161e-003	1.259062e+000
8.294928145571145e-003	1.649253e+000
8.334928145571130e-003	2.061921e+000
8.374928145571114e-003	2.491300e+000
8.414928145571099e-003	2.933110e+000
8.494928145571068e-003	3.842129e+000
8.614928145571021e-003	5.241948e+000
8.654928145571006e-003	5.714574e+000
8.694928145570990e-003	6.188037e+000
8.734928145570975e-003	6.662335e+000
8.774928145570959e-003	7.137468e+000
8.814928145570944e-003	7.613438e+000
8.854928145570928e-003	8.090243e+000
8.894928145570913e-003	8.567884e+000
8.934928145570897e-003	9.044874e+000
8.954570591883870e-003	9.277878e+000
8.967672048521114e-003	9.429941e+000
8.980494853691234e-003	9.571900e+000
8.993796919681552e-003	9.708188e+000
9.011594260327271e-003	9.874253e+000
9.023437500000009e-003	9.976043e+000
9.023492203834416e-003	9.980615e+000
9.023601611503285e-003	9.974422e+000
9.023640843356051e-003	9.951191e+000
9.023654356810407e-003	9.935802e+000
9.023664724948310e-003	9.923747e+000
9.023672925194237e-003	9.915595e+000
9.023681445085363e-003	9.908100e+000
9.023694287356110e-003	9.898068e+000
9.023707534677627e-003	9.888824e+000
9.023730218255477e-003	9.874689e+000
9.023765524070582e-003	9.854410e+000
9.023802074728138e-003	9.834408e+000
9.023875176043250e-003	9.795069e+000
9.023963679196390e-003	9.747193e+000
9.024140685502613e-003	9.649933e+000
9.024398542103129e-003	9.506164e+000
9.024414061999997e-003	9.497445e+000
9.024417585527189e-003	9.495531e+000
9.024424632581629e-003	9.492064e+000
9.024438726690509e-003	9.486712e+000
9.024466914908269e-003	9.479777e+000
9.024505143897132e-003	9.474306e+000
9.024563604482838e-003	9.469102e+000
9.024636517586337e-003	9.463765e+000
9.024768390449689e-003	9.454479e+000
9.025032136176392e-003	9.435948e+000
9.025559627629798e-003	9.399020e+000
9.032944507977425e-003	8.900417e+000
9.041384371231864e-003	8.370044e+000
9.058264097740743e-003	7.420928e+000
9.092023550758499e-003	5.826247e+000
9.132023550758484e-003	4.330621e+000
9.172023550758468e-003	3.204744e+000
9.212023550758453e-003	2.370111e+000
9.252023550758437e-003	1.751391e+000
9.292023550758422e-003	1.292735e+000
9.332023550758406e-003	9.527428e-001
9.372023550758390e-003	7.007200e-001
9.412023550758375e-003	5.139129e-001
9.452023550758359e-003	3.754528e-001
9.492023550758344e-003	2.728345e-001
9.532023550758328e-003	1.967873e-001
9.572023550758313e-003	1.404385e-001
9.612023550758297e-003	9.869278e-002
9.652023550758282e-003	6.777313e-002
9.692023550758266e-003	4.487931e-002
9.732023550758251e-003	2.793537e-002
9.772023550758235e-003	1.540237e-002
9.812023550758220e-003	6.043228e-003
9.844744727391719e-003	2.562186e-004
9.877944348185619e-003	-4.240482e-003
9.910235999814110e-003	-7.610934e-003
9.950235999814094e-003	-1.077741e-002
9.990235999814079e-003	-1.325696e-002
1.000000000000001e-002	-1.375576e-002
