X,CH1,CH2,
Second,Volt,Volt,
-7.3179998e-02,-9.20000e-01,2.40000e-02,
-7.3160000e-02,-8.80000e-01,2.40000e-02,
-7.3139995e-02,-8.40000e-01,2.40000e-02,
-7.3119998e-02,-8.40000e-01,1.60000e-02,
-7.3100001e-02,-8.40000e-01,1.60000e-02,
-7.3079996e-02,-8.00000e-01,2.40000e-02,
-7.3059998e-02,-7.60000e-01,1.60000e-02,
-7.3040001e-02,-7.60000e-01,1.60000e-02,
-7.3019996e-02,-6.80000e-01,1.60000e-02,
-7.2999999e-02,-6.80000e-01,2.40000e-02,
-7.2980002e-02,-6.40000e-01,2.40000e-02,
-7.2959997e-02,-6.00000e-01,2.40000e-02,
-7.2939999e-02,-6.00000e-01,2.40000e-02,
-7.2919995e-02,-5.60000e-01,2.40000e-02,
-7.2899997e-02,-5.60000e-01,2.40000e-02,
-7.2880000e-02,-5.20000e-01,2.40000e-02,
-7.2859995e-02,-4.80000e-01,2.40000e-02,
-7.2839998e-02,-4.40000e-01,2.40000e-02,
-7.2820000e-02,-4.40000e-01,2.40000e-02,
-7.2799996e-02,-4.00000e-01,2.40000e-02,
-7.2779998e-02,-3.20000e-01,2.40000e-02,
-7.2760001e-02,-3.20000e-01,2.40000e-02,
-7.2739996e-02,-2.80000e-01,2.40000e-02,
-7.2719999e-02,-2.80000e-01,2.40000e-02,
-7.2700001e-02,-2.80000e-01,2.40000e-02,
-7.2679996e-02,-2.40000e-01,2.40000e-02,
-7.2659999e-02,-2.40000e-01,2.40000e-02,
-7.2640002e-02,-2.00000e-01,2.40000e-02,
-7.2619997e-02,-1.60000e-01,2.40000e-02,
-7.2600000e-02,-1.20000e-01,2.40000e-02,
-7.2579995e-02,-1.20000e-01,2.40000e-02,
-7.2559997e-02,-8.00000e-02,1.60000e-02,
-7.2540000e-02,-1.20000e-01,2.40000e-02,
-7.2519995e-02,-8.00000e-02,2.40000e-02,
-7.2499998e-02,0.00000e+00,2.40000e-02,
-7.2480001e-02,0.00000e+00,2.40000e-02,
-7.2459996e-02,0.00000e+00,2.40000e-02,
-7.2439998e-02,4.00000e-02,2.40000e-02,
-7.2420001e-02,8.00000e-02,2.40000e-02,
-7.2399996e-02,8.00000e-02,2.40000e-02,
-7.2379999e-02,1.60000e-01,2.40000e-02,
-7.2360002e-02,1.60000e-01,2.40000e-02,
-7.2339997e-02,1.60000e-01,1.60000e-02,
-7.2319999e-02,2.40000e-01,2.40000e-02,
-7.2299995e-02,2.40000e-01,2.40000e-02,
-7.2279997e-02,2.40000e-01,1.60000e-02,
-7.2260000e-02,2.80000e-01,1.60000e-02,
-7.2239995e-02,3.20000e-01,1.60000e-02,
-7.2219998e-02,3.60000e-01,8.00000e-03,
-7.2200000e-02,4.00000e-01,0.00000e+00,
-7.2179995e-02,4.00000e-01,-8.00000e-03,
-7.2159998e-02,4.40000e-01,0.00000e+00,
-7.2140001e-02,4.80000e-01,-1.60000e-02,
-7.2119996e-02,4.80000e-01,-8.00000e-03,
